business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to other vegetable (except potato) and melon farming.,49220.03,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to goat farming.,36908.65,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to chicken egg production.,32631.17,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to nursery and tree production.,16889.03,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to tobacco fsrmong.,15971.22,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to tree nut farming.,33895.94,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to sheep farming.,35968.53,EcoFarms,Procured for sheep farming operations.,Sheep Farming
Activities related to orange groves.,19740.91,FreshFields,Procured for orange groves operations.,Orange Groves
Irrelevant text tisi iartdpifaonatm eeovr .oegcl tAtt,10479.11,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to all other grain farming.,18542.68,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to fur-bearing animal and rabbit production.,8909.48,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Ao hu.r celtant vdt ltrced oseiitiyooiurpproett,44400.8,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to fur-bearing animal and rabbit production.,26352.65,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to cotton farming.,19262.47,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to potato farming.,7764.83,AgriCorp,Procured for potato farming operations.,Potato Farming
Activities related to dry pea and bean farming.,44768.57,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
lae atrdtetdbabtrnn me ergboa nainirA-t pioa .outiiu fvsdircilc,10251.33,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to mushroom production.,48657.35,BioHarvest,Procured for mushroom production operations.,Mushroom Production
Activities related to cattle feedlots.,2248.35,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to other noncitrus fruit farming.,16767.8,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
ave)neesmAo csfcttbi. etls oiygeniddxipi eerraelt t( ao,25532.52,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to other aquaculture.,49493.73,AgriCorp,Procured for other aquaculture operations.,Other Aquaculture
Activities related to poultry hatcheries.,36965.63,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to rice farming.,37637.97,AgriCorp,Procured for rice farming operations.,Rice Farming
Activities related to grape vineyards.,29330.3,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to goat farming.,24492.08,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to grape vineyards.,11214.91,FreshFields,Procured for grape vineyards operations.,Grape Vineyards
Activities related to horses and other equine production.,38646.45,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to hay farming.,35115.65,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to goat farming.,20631.93,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to floriculture production.,25892.51,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to poultry hatcheries.,19028.05,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to turkey production.,39546.41,FreshFields,Procured for turkey production operations.,Turkey Production
ibesoletc fs ettmadaireag rrtwtniAviy.rr ,32914.65,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to other aquaculture.,2000.15,AgriCorp,Procured for other aquaculture operations.,Other Aquaculture
Activities related to apple orchards.,19094.07,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to broilers and other meat type chicken production.,17387.3,CropGen,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to strawberry farming.,10894.97,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to wheat farming.,2447.94,BioHarvest,Procured for wheat farming operations.,Wheat Farming
Activities related to sugar beet farming.,40194.69,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to all other miscellaneous crop farming.,27038.71,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Irrelevant text aibtimniroadftgs tetsrecv At g ei.elareu ,10093.14,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to finfish farming and fish hatcheries.,29977.16,AgriCorp,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities relatrd to broiers and other meat type chicken production.,22574.59,BioHarvest,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to hay farming.,4594.17,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to poultry hatcheries.,9522.84,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
htlrclr .nAldvitoniet ets  a acdom ilareauetiptioo,40257.53,BioHarvest,Procured for all other animal production operations.,All Other Animal Production
Activities related to orange groves.,34167.53,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities related to grape vineyards.,33390.24,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to orange groves.,5707.58,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities relted to other noncitrus furit farming.,38976.95,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to tobacco farming.,8316.72,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to other poultry production.,45501.2,CropGen,Procured for other poultry production operations.,Other Poultry Production
Activities related to other food crops grown under cover.,28074.76,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to dry pea and bean farming.,32901.39,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to berry (except strawberry) farming.,24294.04,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to other vegetable (except potato) and melon farming.,6571.39,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to other poultry production.,28760.14,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to finfish farming and fish hatcheries.,26675.85,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to grape vineyards.,13701.32,EcoFarms,Procured for grape vineyards operations.,Grape Vineyards
Activities related to mushroom production.,22960.97,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to oilseed and grain combination farming.,49497.5,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to turkey production.,8627.81,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to citrus (except orange) groves.,29954.26,AgriCorp,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to goat farming.,38031.67,CropGen,Procured for goat farming operations.,Goat Farming
Activities related to berry (except strawberry) farming.,3878.04,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities rrlated to citrus (except oraneg) groes.,18969.38,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to all other miscellaneous crop farming.,36692.21,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to peanut farming.,42203.31,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to hay farming.,48329.58,EcoFarms,Procured for hay farming operations.,Hay Farming
Activities related to corn farming.,34809.4,FreshFields,Procured for corn farming operations.,Corn Farming
Activities related to goat farming.,22853.34,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to soybean farming.,3735.83,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to oilseed (except soybean) farming.,31470.59,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to chicken egg production.,40810.11,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to sheep farming.,46493.59,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to fruit and tree nut combination farming.,11020.52,FreshFields,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to other food crops grown under cover.,24517.74,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to goat farming.,17048.39,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to apple orchards.,37679.96,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to tobacco farming.,34992.4,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to mushroom production.,47656.84,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activitis elated to cotton fatming.,3823.86,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to sugarcane farming.,3880.27,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to sugarcane farming.,3060.34,EcoFarms,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to apple orchards.,28253.22,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to poultry hatcheries.,12532.0,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
A e upsioirodyeotta tlnnriure .vdditrntacetcr es e,9128.07,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to broilers and other meat type chicken production.,6123.74,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to finfish farming and fish hatcheries.,17792.6,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to berry (except strawberry) farming.,46855.4,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to nursery and tree production.,15826.7,AgriCorp,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to orange groves.,1832.67,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to berry (except strawberry) farming.,48010.62,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to finfish farming and fish hatcheries.,26306.72,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to oilseed (except soybean) farming.,43114.01,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Irrelevant text luAte.ciedmvmfesit oatsrel  toiloecrlr naliencsrthp oia  ga,48362.96,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Actovities related to suga beet farming.,43501.31,FreshFields,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to other poultry production.,38711.25,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to rice farming.,7418.99,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to goat farming.,16005.11,CropGen,Procured for goat farming operations.,Goat Farming
Activities related to orange groves.,8233.57,AgriCorp,Procured for orange groves operations.,Orange Groves
Activities related to tree nut farming.,44612.47,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to orange groves.,24276.94,AgriCorp,Procured for orange groves operations.,Orange Groves
Activities related to wheat farming.,3656.88,AgriCorp,Procured for wheat farming operations.,Wheat Farming
Activities related to goat farming.,21008.08,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to cotton farming.,19004.62,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to shellfish farming.,35345.88,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to goat farming.,43704.68,FreshFields,Procured for goat farming operations.,Goat Farming
Activities relatrd to dry pea snd bean farmig.,48209.12,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to orange groves.,14043.11,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to mushroom production.,48377.39,BioHarvest,Procured for mushroom production operations.,Mushroom Production
Activities related to hay farming.,6243.02,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to oilseed (except soybean) farming.,3127.66,CropGen,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to grape vineyards.,24501.82,FreshFields,Procured for grape vineyards operations.,Grape Vineyards
Activities related to peanut farming.,8099.92,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to apiculture.,28269.41,FreshFields,Procured for apiculture operations.,Apiculture
Activities related to other vegetable (except potato) and melon farming.,25706.74,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to oilseed and grain combination farming.,45029.7,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to chicken egg production.,35395.88,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to apiculture.,4989.13,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to nursery and tree production.,31594.6,BioHarvest,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to tree nut farming.,20693.95,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to rice farming.,45435.98,EcoFarms,Procured for rice farming operations.,Rice Farming
Activities related to other food crops grown under cover.,16646.85,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to shellfish farming.,45087.56,FreshFields,Procured for shellfish farming operations.,Shellfish Farming
Activities related to other food crops grown under cover.,20361.28,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to cattle feedlots.,6217.81,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to augarcane farimng.,24194.95,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to nursery and tree production.,28867.61,BioHarvest,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to potato farming.,5235.13,EcoFarms,Procured for potato farming operations.,Potato Farming
Irrelevant text l etA  eranda ronlici tlaigse- daoeaa utcigrnnh.pditvstmprtcfeu,41766.36,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to sugarcane farming.,37477.37,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to sugarcane farming.,46793.58,CropGen,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to all other animal production.,21672.23,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to cotton farming.,10430.96,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to rice farming.,8339.12,EcoFarms,Procured for rice farming operations.,Rice Farming
Activities related to oilseed and grain combination farming.,43291.06,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to nursery and tree production.,26858.8,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to strawberry farming.,23277.93,CropGen,Procured for strawberry farming operations.,Strawberry Farming
Activities related to shellfish farming.,25642.56,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to all other miscellaneous crop farming.,32418.43,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to potato farming.,40274.39,CropGen,Procured for potato farming operations.,Potato Farming
Activities related to fur-bearing animal and rabbit production.,35685.72,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to other food crops grown under cover.,42123.81,AgriCorp,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to berry (except strawberry) farming.,49363.51,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to poultry hatcheries.,11907.64,FreshFields,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to sheep farming.,35866.6,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to potato farming.,29020.7,AgriCorp,Procured for potato farming operations.,Potato Farming
Activities related to turkey production.,32891.33,CropGen,Procured for turkey production operations.,Turkey Production
Activitoes related to finish farming and fish hatcherirs.,30954.39,BioHarvest,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to beef cattle ranching and farming.,22375.9,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Irrelevant text oeifdecvl na eiareicrnistrtsAgta .mau gt,26003.13,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to tree nut farming.,46768.6,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to mushroom production.,8553.75,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to dairy cattle and milk production.,9402.69,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to tree nut farming.,7032.24,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to sugar beet farming.,29084.54,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to citrus (except orange) groves.,47816.3,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to other food crops grown under cover.,30364.84,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to other vegetable (except potato) and melon farming.,6639.53,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to other food crops grown under cover.,43031.9,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to cattle feedlots.,1996.59,FreshFields,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to other noncitrus fruit farming.,2313.69,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to tree nut farming.,16519.67,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to cattle feedlots.,25113.62,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to finfish farming and fish hatcheries.,1278.14,AgriCorp,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to oilseed (except soybean) farming.,16025.24,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to oilseed (except soybean) farming.,21883.05,BioHarvest,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to chicken egg production.,7903.72,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to beef cattle ranching and farming.,23053.21,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to rice farming.,36280.55,EcoFarms,Procured for rice farming operations.,Rice Farming
Activities related to poultry hatcheries.,11245.05,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to other aquaculture.,48171.67,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to other food crops grown under cover.,44641.47,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to orange groves.,48843.92,FreshFields,Procured for orange groves operations.,Orange Groves
Activities related to chicken egg production.,24525.64,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to grape vineyards.,35116.73,FreshFields,Procured for grape vineyards operations.,Grape Vineyards
Activities related to all other animal production.,28775.82,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
Activities related to cotton farming.,1641.22,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Atcivitiesr elated to goat farming.,31520.65,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to sugar beet farming.,11262.98,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to apple orchards.,39906.13,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to tobacco farming.,46609.24,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to floriculture production.,16996.68,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to sugar beet farming.,10912.69,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to grape vineyards.,40396.83,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to floriculture production.,12086.08,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to all other grain farming.,47882.24,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Irrelevant text tcsAioe ltmo tatii oftrrae agditne.vp,15910.48,CropGen,Procured for potato farming operations.,Potato Farming
Activities related to all other miscellaneous crop farming.,17751.08,BioHarvest,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to cotton farming.,4915.51,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to all other animal production.,40309.97,BioHarvest,Procured for all other animal production operations.,All Other Animal Production
Activities related to sugarcane farming.,14002.65,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to hay farming.,31340.74,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to turkey production.,24413.55,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to chicken egg production.,39774.71,CropGen,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to mushroom production.,39968.33,FreshFields,Procured for mushroom production operations.,Mushroom Production
Irrelevant text  yoeie.eaadrltmgvntbsatsrt cii Afeino ,12692.23,EcoFarms,Procured for soybean farming operations.,Soybean Farming
Activities related to sugarcane farming.,26784.75,CropGen,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to other vegetable (except potato) and melon farming.,25396.09,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to sugarcane farming.,20274.23,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
